"regatta_id","class_name","boat_country_code","sail_number","boat_name","boat_model","rating_type","rating","owner_first_name","owner_last_name","owner_email","first_name","last_name","email"
"1","ANC","POR","9201","ANC Boat 1","Beneteau First 31.7","anc","0.943","Owner1","ANC","owner.anc+1@example.com","Helm1","ANC","helm.anc+1@example.com"
"1","ANC","POR","9202","ANC Boat 2","Beneteau First 31.7","anc","0.946","Owner2","ANC","owner.anc+2@example.com","Helm2","ANC","helm.anc+2@example.com"
"1","ANC","POR","9203","ANC Boat 3","Beneteau First 31.7","anc","0.949","Owner3","ANC","owner.anc+3@example.com","Helm3","ANC","helm.anc+3@example.com"
"1","ANC","POR","9204","ANC Boat 4","Beneteau First 31.7","anc","0.952","Owner4","ANC","owner.anc+4@example.com","Helm4","ANC","helm.anc+4@example.com"
"1","ANC","POR","9205","ANC Boat 5","Beneteau First 31.7","anc","0.955","Owner5","ANC","owner.anc+5@example.com","Helm5","ANC","helm.anc+5@example.com"
"1","ANC","POR","9206","ANC Boat 6","Beneteau First 31.7","anc","0.958","Owner6","ANC","owner.anc+6@example.com","Helm6","ANC","helm.anc+6@example.com"
"1","ANC","POR","9207","ANC Boat 7","Beneteau First 31.7","anc","0.961","Owner7","ANC","owner.anc+7@example.com","Helm7","ANC","helm.anc+7@example.com"
"1","ANC","POR","9208","ANC Boat 8","Beneteau First 31.7","anc","0.964","Owner8","ANC","owner.anc+8@example.com","Helm8","ANC","helm.anc+8@example.com"
"1","ANC","POR","9209","ANC Boat 9","Beneteau First 31.7","anc","0.967","Owner9","ANC","owner.anc+9@example.com","Helm9","ANC","helm.anc+9@example.com"
"1","ANC","POR","9210","ANC Boat 10","Beneteau First 31.7","anc","0.97","Owner10","ANC","owner.anc+10@example.com","Helm10","ANC","helm.anc+10@example.com"
